class,class_label_en,class_label_it,group,group_label_en,group_label_it,division,division_label_en,division_label_it,section,section_label_en,section_label_it
01.11,"01.11 Growing of cereals, other than rice, leguminous crops and oil seeds","01.11 Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso",01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.12,01.12 Growing of rice,01.12 Coltivazione di riso,01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.13,"01.13 Growing of vegetables and melons, roots and tubers","01.13 Coltivazione di ortaggi e meloni, radici e tuberi",01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.14,01.14 Growing of sugar cane,01.14 Coltivazione di canna da zucchero,01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.15,01.15 Growing of tobacco,01.15 Coltivazione di tabacco,01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.16,01.16 Growing of fibre crops,01.16 Coltivazione di piante tessili,01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.19,01.19 Growing of other non-perennial crops,01.19 Coltivazione di altre colture agricole non permanenti,01.1,01.1 Growing of non-perennial crops,01.1 Coltivazione di colture agricole non permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.21,01.21 Growing of grapes,01.21 Coltivazione di uva,01.2,01.2 Growing of perennial crops,01.2 Coltivazione di colture agricole permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.22,01.22 Growing of tropical and subtropical fruits,01.22 Coltivazione di frutta di origine tropicale e subtropicale,01.2,01.2 Growing of perennial crops,01.2 Coltivazione di colture agricole permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.23,01.23 Growing of citrus fruits,01.23 Coltivazione di agrumi,01.2,01.2 Growing of perennial crops,01.2 Coltivazione di colture agricole permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.24,01.24 Growing of pome fruits and stone fruits,01.24 Coltivazione di pomacee e frutta a nocciolo,01.2,01.2 Growing of perennial crops,01.2 Coltivazione di colture agricole permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.25,01.25 Growing of other tree and bush fruits and nuts,"01.25 Coltivazione di altri alberi da frutto, frutti di bosco e frutta in guscio",01.2,01.2 Growing of perennial crops,01.2 Coltivazione di colture agricole permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
01.26,01.26 Growing of oleaginous fruits,01.26 Coltivazione di frutti oleosi,01.2,01.2 Growing of perennial crops,01.2 Coltivazione di colture agricole permanenti,01,"01 Crop and animal production, hunting and related service activities","01 Produzioni vegetali e animali, caccia e servizi connessi",A,"A AGRICULTURE, FORESTRY AND FISHING","A AGRICOLTURA, SILVICOLTURA E PESCA"
